     TRACK_ID  FRAME  POSITION_X  POSITION_Y
0           7      0     452.287     249.773
1           7      1     454.981     250.520
2           7      2     456.486     253.572
3           7      3     456.088     252.746
4           7      4     456.395     253.571
5           7      5     457.806     253.268
6           7      6     455.633     253.535
7           7      7     454.949     253.776
8           7      8     455.856     252.850
9           7      9     454.706     249.370
10          7     10     453.338     249.406
11          7     11     454.758     252.743
12          7     12     455.170     253.291
13          7     13     454.607     248.535
14          7     14     453.832     248.359
15          7     15     453.236     248.156
16          7     16     458.314     253.220
17          7     17     456.308     250.876
18          7     18     456.612     249.264
19          7     19     457.730     249.869
20          7     20     453.490     253.681
21          7     21     458.059     250.633
22          7     22     457.116     251.077
23          7     23     454.530     248.146
24          7     24     455.127     249.239
25          7     25     454.129     249.298
26          7     26     454.130     248.663
27          7     27     453.810     250.792
28          7     28     453.986     249.174
29          7     29     453.592     250.059
30          7     30     454.115     250.369
31          7     31     453.581     250.108
32          7     32     452.611     251.484
33          7     33     452.660     249.649
34          7     34     454.539     252.031
35          7     35     455.177     252.251
36          7     36     453.056     247.992
37          7     37     453.044     251.325
38          7     38     452.932     251.133
39          7     39     453.529     251.528
40          7     40     453.495     252.122
41          7     41     453.021     251.660
42          7     42     454.621     251.161
43          7     43     454.981     248.421
44          7     44     452.901     249.100
45          7     45     452.705     249.826
46          7     46     440.486     240.670
47          7     47     446.502     225.188
48          7     48     447.604     227.601
49          7     49     445.886     225.241
50          7     50     441.662     227.325
51          7     51     441.996     227.144
52          7     52     443.405     226.540
53          7     53     441.739     229.041
54          7     54     444.162     227.678
55          7     55     448.357     228.051
56          7     56     450.921     227.560
57          7     57     452.500     227.264
58          7     58     455.177     226.534
59          7     59     453.211     222.188
60          7     60     455.786     220.187
61          7     61     454.664     219.669
62          7     62     451.568     218.157
63          7     63     453.060     208.227
64          7     64     454.664     214.852
65          7     65     451.238     213.286
66          7     66     453.918     215.607
67          7     67     456.337     216.809
68          7     68     449.540     216.162
69          7     69     443.168     211.542
70          7     70     442.284     209.653
